Home Aurelia Icon Audit (manual list, all sizes/contexts)
Root: HomeAurelia-Full-Pack/Core/HomeAurelia-Icons
Columns: path	status	px	visible_ratio	near_black_ratio	electric_blue_ratio	flags
HomeAurelia-Full-Pack/Core/HomeAurelia-Icons/16x16/places/folder-videos.png	OK	16x16	0.9492	0.1728	0.0288	
HomeAurelia-Full-Pack/Core/HomeAurelia-Icons/16x16/places/internet-mail.png	OK	16x16	0.9492	0.1440	0.0412	
HomeAurelia-Full-Pack/Core/HomeAurelia-Icons/16x16/places/internet-web-browser.png	OK	16x16	0.9492	0.1358	0.0576	
HomeAurelia-Full-Pack/Core/HomeAurelia-Icons/16x16/places/network-firewall.png	OK	16x16	0.9492	0.1276	0.0494	
HomeAurelia-Full-Pack/Core/HomeAurelia-Icons/16x16/places/network-wireless.png	OK	16x16	0.9492	0.1728	0.0082	NO_ELECTRIC_BLUE
HomeAurelia-Full-Pack/Core/HomeAurelia-Icons/16x16/places/office-calendar.png	OK	16x16	0.9492	0.1564	0.0247	
HomeAurelia-Full-Pack/Core/HomeAurelia-Icons/16x16/places/preferences-system.png	OK	16x16	0.9492	0.1605	0.0165	
HomeAurelia-Full-Pack/Core/HomeAurelia-Icons/16x16/places/system-settings.png	OK	16x16	0.9492	0.1605	0.0165	
HomeAurelia-Full-Pack/Core/HomeAurelia-Icons/16x16/places/system-shutdown.png	OK	16x16	0.9492	0.1399	0.0329	
HomeAurelia-Full-Pack/Core/HomeAurelia-Icons/16x16/places/system-reboot.png	OK	16x16	0.9492	0.1564	0.0288	
HomeAurelia-Full-Pack/Core/HomeAurelia-Icons/16x16/places/system-software-install.png	OK	16x16	0.9492	0.1811	0.0082	NO_ELECTRIC_BLUE
HomeAurelia-Full-Pack/Core/HomeAurelia-Icons/16x16/places/user-trash.png	OK	16x16	0.9492	0.1770	0.0329	
HomeAurelia-Full-Pack/Core/HomeAurelia-Icons/16x16/places/utilities-terminal.png	OK	16x16	0.9492	0.1440	0.0206	
HomeAurelia-Full-Pack/Core/HomeAurelia-Icons/16x16/places/user-trash-full.png	OK	16x16	0.9492	0.1770	0.0329	
HomeAurelia-Full-Pack/Core/HomeAurelia-Icons/16x16/places/user.png	OK	16x16	0.9492	0.1728	0.0082	NO_ELECTRIC_BLUE
HomeAurelia-Full-Pack/Core/HomeAurelia-Icons/16x16/places/text-x-generic.png	OK	16x16	0.9492	0.1481	0.0535	
HomeAurelia-Full-Pack/Core/HomeAurelia-Icons/16x16/places/image-x-generic.png	OK	16x16	0.9492	0.1605	0.0412	
HomeAurelia-Full-Pack/Core/HomeAurelia-Icons/16x16/places/video-x-generic.png	OK	16x16	0.9492	0.1728	0.0288	
HomeAurelia-Full-Pack/Core/HomeAurelia-Icons/16x16/places/start-here-kde.png	OK	16x16	0.9492	0.1852	0.0082	NO_ELECTRIC_BLUE
HomeAurelia-Full-Pack/Core/HomeAurelia-Icons/16x16/actions/accessories-calculator.png	OK	16x16	0.9492	0.1358	0.0576	
HomeAurelia-Full-Pack/Core/HomeAurelia-Icons/16x16/actions/accessories-text-editor.png	OK	16x16	0.9492	0.1605	0.0247	
HomeAurelia-Full-Pack/Core/HomeAurelia-Icons/16x16/actions/audio-x-generic.png	OK	16x16	0.9492	0.1523	0.0288	
HomeAurelia-Full-Pack/Core/HomeAurelia-Icons/16x16/actions/bluetooth.png	OK	16x16	0.9492	0.1523	0.0082	NO_ELECTRIC_BLUE
HomeAurelia-Full-Pack/Core/HomeAurelia-Icons/16x16/actions/computer.png	OK	16x16	0.9492	0.1687	0.0412	
HomeAurelia-Full-Pack/Core/HomeAurelia-Icons/16x16/actions/dialog-question.png	OK	16x16	0.9492	0.1852	0.0165	
HomeAurelia-Full-Pack/Core/HomeAurelia-Icons/16x16/actions/drive-harddisk.png	OK	16x16	0.9492	0.1605	0.0206	
HomeAurelia-Full-Pack/Core/HomeAurelia-Icons/16x16/actions/folder-documents.png	OK	16x16	0.9492	0.1481	0.0535	
HomeAurelia-Full-Pack/Core/HomeAurelia-Icons/16x16/actions/folder-downloads.png	OK	16x16	0.9492	0.1811	0.0082	NO_ELECTRIC_BLUE
HomeAurelia-Full-Pack/Core/HomeAurelia-Icons/16x16/actions/folder-home.png	OK	16x16	0.9492	0.1481	0.0329	
HomeAurelia-Full-Pack/Core/HomeAurelia-Icons/16x16/actions/folder-music.png	OK	16x16	0.9492	0.1523	0.0288	
HomeAurelia-Full-Pack/Core/HomeAurelia-Icons/16x16/actions/folder-pictures.png	OK	16x16	0.9492	0.1605	0.0412	
HomeAurelia-Full-Pack/Core/HomeAurelia-Icons/16x16/actions/folder-videos.png	OK	16x16	0.9492	0.1728	0.0288	
HomeAurelia-Full-Pack/Core/HomeAurelia-Icons/16x16/actions/internet-mail.png	OK	16x16	0.9492	0.1440	0.0412	
HomeAurelia-Full-Pack/Core/HomeAurelia-Icons/16x16/actions/internet-web-browser.png	OK	16x16	0.9492	0.1358	0.0576	
HomeAurelia-Full-Pack/Core/HomeAurelia-Icons/16x16/actions/network-firewall.png	OK	16x16	0.9492	0.1276	0.0494	
HomeAurelia-Full-Pack/Core/HomeAurelia-Icons/16x16/actions/network-wireless.png	OK	16x16	0.9492	0.1728	0.0082	NO_ELECTRIC_BLUE
